RA_ICRS;DE_ICRS;pmRA;pmDE;Plx;Nmemb;NBS;NpBS;logt;DM;E(G-RP);Z;Cluster;Flag;_RA.icrs;_DE.icrs
029.4037;+37.7569; 9.68;-11.97; 2.27;467;1;0; 9.30; 8.10; 0.00; 0.015; NGC_752;1;029.4036;+37.7570
045.5147;+47.9644; 0.52; -1.27; 0.34; 73;1;0; 9.40;11.90; 0.10; 0.019;CWNU_365;1;045.5147;+47.9644
051.1621;+54.9117; 0.33; -1.03; 0.41;172;1;1; 9.15;12.90; 0.47; 0.019;CWNU_483;2;051.1621;+54.9117
056.3189;+50.7379; 0.80; -1.25; 0.35;150;1;0; 9.30;13.00; 0.40; 0.019; CWNU_17;2;056.3189;+50.7379
088.6313;+31.1775; 0.76; -3.38; 0.56; 94;2;0; 8.85;11.40; 0.16; 0.011;CWNU_197;1;088.6313;+31.1775
101.9691;-07.1436;-0.12;  1.79; 0.43; 75;1;0; 9.20;12.50; 0.14; 0.019;CWNU_251;1;101.9691;-07.1436
111.5793;-18.4363;-2.09;  1.93; 0.24;206;1;5; 9.20;13.20; 0.25; 0.015;FSR_1253;2;111.5793;-18.4363
111.7631;-37.5237;-1.21;  2.73; 0.09;254;2;2; 9.40;15.45; 0.20; 0.007;    DC_3;2;111.7631;-37.5237
112.1281;-20.1110;-2.28;  2.54; 0.29;235;1;0; 8.80;13.10; 0.20; 0.019;  LP_198;1;112.1281;-20.1110
122.8447;-31.9505;-2.63;  3.18; 0.22;323;2;0; 9.05;13.20; 0.14; 0.019;  LP_386;1;122.8447;-31.9505
146.4939;-52.4888;-1.64; -0.43; 0.97;213;1;0; 9.20;10.50; 0.17; 0.019; LP_2236;1;146.4939;-52.4888
153.2045;-60.9027;-6.36;  3.11; 0.50;281;1;0; 8.60;11.50; 0.07; 0.017; LP_2059;1;153.2046;-60.9027
156.2624;-72.5495;-6.89;  1.45; 0.53;463;4;3; 9.45;11.50; 0.07; 0.011; UBC_274;1;156.2625;-72.5495
170.2379;-59.2962;-5.24;  1.78; 0.34;302;2;0; 9.20;12.45; 0.11; 0.019; UBC_271;1;170.2379;-59.2962
191.0003;-58.0832;-2.21; -1.26; 0.52;258;1;0; 9.00;11.90; 0.23; 0.015; UBC_288;2;191.0003;-58.0832
233.8455;-57.6694;-3.62; -5.75; 0.39;177;1;0; 9.60;12.20; 0.47; 0.019;  UFMG34;2;233.8455;-57.6694
236.0397;-55.2561;-6.05; -4.39; 0.36;167;5;2;10.00;13.20; 0.63; 0.015;  UFMG42;2;236.0397;-55.2561
236.5714;-56.8117;-1.68; -3.23; 0.37;378;1;2; 9.20;12.10; 0.35; 0.019; UBC_306;2;236.5714;-56.8117
237.5781;-55.9584;-4.41; -3.09; 0.37;892;1;1; 9.50;12.10; 0.51; 0.015; UBC_308;2;237.5781;-55.9584
241.4903;-52.6739;-1.70; -2.69; 0.30;453;2;1; 9.60;12.50; 0.57; 0.019;  UFMG38;2;241.4903;-52.6739
244.9414;-49.9675;-3.11; -2.47; 0.39;181;1;0; 9.55;11.70; 0.35; 0.011;CWNU_220;2;244.9414;-49.9675
245.7076;-50.1761;-2.40; -4.11; 0.39;332;1;0; 9.25;12.50; 0.37; 0.028; UBC_543;2;245.7076;-50.1761
249.6547;-45.6858; 0.98; -0.49; 0.53;350;1;0; 8.90;11.30; 0.21; 0.019;CWNU_244;1;249.6547;-45.6858
256.9774;-44.1529;-2.12; -5.49; 0.52;800;2;4; 9.50;12.20; 0.55; 0.015; UBC_551;2;256.9774;-44.1529
259.2643;-41.6866;-0.05; -3.58; 0.59;228;1;0; 9.10;11.80; 0.44; 0.009;  CWNU_1;2;259.2643;-41.6866
261.5837;-37.7915; 0.53; -0.98; 0.44;211;1;0; 9.30;11.40; 0.40; 0.011; PHOC_18;2;261.5837;-37.7915
264.8672;-35.0792; 0.24; -3.71; 0.30;109;3;3; 9.85;12.80; 0.42; 0.015;  UFMG91;2;264.8672;-35.0792
264.9140;-33.2313; 0.14; -0.76; 0.36;496;1;0; 9.45;11.50; 0.51; 0.019; UBC_567;2;264.9140;-33.2313
266.5731;-29.1627; 1.72; -0.79; 0.48;463;0;4; 9.15;11.70; 0.35; 0.019; UBC_335;2;266.5731;-29.1627
267.6774;-30.2126;-0.11; -1.33; 0.33;788;0;3; 9.00;11.90; 0.35; 0.015; UBC_570;2;267.6774;-30.2126
269.4743;-29.1512;-0.07; -2.59; 0.32; 88;1;0; 9.20;12.80; 0.33; 0.019;  UFMG93;1;269.4743;-29.1512
274.5644;-25.0783;-1.74;  0.44; 0.38; 41;2;0; 9.60;12.00; 0.22; 0.015;  UFMG46;1;274.5644;-25.0783
276.5174;-15.0391;-1.37; -2.27; 0.52;359;3;0; 9.50;11.07; 0.31; 0.019;CWNU_132;2;276.5174;-15.0391
276.7280;-12.5057; 0.84;  0.87; 0.46;159;4;7; 9.80;12.20; 0.44; 0.011; CWNU_37;2;276.7280;-12.5057
277.9516;-10.0988; 0.57; -1.38; 0.46;223;3;0; 9.60;11.50; 0.48; 0.017; CWNU_70;2;277.9516;-10.0988
278.3248;-13.0533;-0.91; -0.25; 0.38;128;2;0; 9.45;11.85; 0.30; 0.015;CWNU_397;1;278.3248;-13.0533
280.2184;-09.6695; 0.75; -3.72; 0.39;139;1;3;10.00;12.30; 0.44; 0.015;CWNU_404;2;280.2184;-09.6695
280.5732;-07.2294; 0.87; -2.86; 0.38;105;3;1; 9.40;12.60; 0.26; 0.009;  PHOC_6;1;280.5732;-07.2294
282.1089;+08.7204;-0.08; -1.48; 0.43;212;1;4; 9.50;11.50; 0.37; 0.019; UBC_117;2;282.1089;+08.7204
282.3458;+03.3497; 1.74; -1.28; 0.61;185;3;1; 9.90;12.20; 0.72; 0.019;CWNU_245;2;282.3458;+03.3497
286.1619;+13.4224;-0.25; -4.55; 0.52; 81;3;3; 9.50;11.40; 0.32; 0.019;CWNU_235;2;286.1619;+13.4224
289.4166;+08.6868;-2.91; -5.28; 0.58;148;2;0; 9.55;12.00; 0.35; 0.015; PHOC_35;1;289.4166;+08.6868
296.3975;+21.1624;-0.35; -3.57; 0.45;259;2;2; 9.65;11.90; 0.41; 0.019; UBC_127;2;296.3975;+21.1624
298.2611;+30.8305;-1.77; -3.05; 0.26;171;1;0; 9.20;13.50; 0.30; 0.019;CWNU_319;1;298.2611;+30.8305
303.3597;+32.1310;-3.81; -5.36; 0.47;112;0;2; 9.45;11.70; 0.50; 0.011;   HE_40;1;303.3597;+32.1310
304.4123;+42.1189;-1.69; -3.25; 0.57;178;1;1; 9.50;12.40; 0.38; 0.011;CWNU_106;2;304.4123;+42.1189
305.8010;+41.6951;-3.63; -8.35; 0.82;247;2;0; 9.10;10.60; 0.30; 0.011; UBC_142;2;305.8010;+41.6951
306.7241;+43.5124;-0.03; -3.07; 0.55; 91;2;2; 9.70;12.30; 0.46; 0.015;CWNU_439;2;306.7241;+43.5124
336.1340;+64.9305;-0.64; -3.39; 1.06; 85;1;0; 9.10;10.20; 0.27; 0.011; UPK_194;1;336.1340;+64.9305
352.4998;+62.3448;-3.15; -2.98; 0.59;134;1;0; 9.55;11.70; 0.43; 0.017;CWNU_109;2;352.4998;+62.3448

